timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
529344958,0.03182639,-0.03391981,0.25325432,0.0,0.9916912,0.017924327,-0.01481189,0.12652257,0.0,0.0,-0.5483213,0,0,0,0,0
529394570,0.03427229,-0.034413606,0.25325432,0.0,0.9916638,0.019168204,-0.014902008,0.12654425,0.0,0.0,-0.5535985,0,0,0,0,0
529444246,0.030949935,-0.037012894,0.2532543,0.0,0.9916687,0.017684573,-0.016401123,0.12653632,0.0,0.0,-0.558167,0,0,0,0,0
529494328,0.038789522,-0.044882596,0.25325432,0.0,0.9915022,0.022066742,-0.01980699,0.12666517,0.0,0.0,-0.5489985,0,0,0,0,0
529548404,0.033650506,-0.048722073,0.25325426,0.0,0.99150705,0.01976059,-0.022036064,0.12664022,0.0,0.0,-0.5400097,0,0,0,0,0
529597883,0.036595117,-0.050882593,0.2532543,0.0,0.9914477,0.021356244,-0.02292075,0.12668873,0.0,0.0,-0.53107494,0,0,0,0,0
529647304,0.04054358,-0.053215895,0.2532543,0.0,0.9913705,0.023460194,-0.023827353,0.12675335,0.0,0.0,-0.52617157,0,0,0,0,0
529697036,0.038337473,-0.05562015,0.25325432,0.0,0.9913604,0.022517754,-0.025159074,0.12674575,0.0,0.0,-0.5145707,0,0,0,0,0
529746295,0.03581445,-0.059797466,0.2532543,0.0,0.99132353,0.021529678,-0.027389824,0.12674336,0.0,0.0,-0.511238,0,0,0,0,0
529796126,0.04195642,-0.065060735,0.2532543,0.0,0.9911644,0.024904309,-0.029609397,0.12687123,0.0,0.0,-0.51291984,0,0,0,0,0
529845501,0.04181667,-0.06411607,0.25325432,0.0,0.99118245,0.024775766,-0.02915002,0.1268613,0.0,0.0,-0.5142727,0,0,0,0,0
529895193,0.031390607,-0.06146856,0.2532543,0.0,0.991342,0.019441964,-0.028498525,0.12669227,0.0,0.0,-0.5226305,0,0,0,0,0
529944727,0.051533666,-0.06271302,0.2532543,0.0,0.99107474,0.02950316,-0.027837925,0.12698631,0.0,0.0,-0.5256384,0,0,0,0,0
