timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
524338103,0.4328775,0.16646565,-0.034085263,4510,0,-0.68032736,-1.3458433,-20.031544,4510,0
524342613,-0.1673515,0.20811428,-0.12375083,4510,0,1.4514719,0.1591192,-6.9312477,4510,0
524347124,-0.2707313,-0.48262396,0.13924609,4511,0,1.5682402,-0.15414822,-7.512776,4511,0
524351631,0.23703893,0.28137252,-0.08656821,4507,0,-1.4819952,-4.987783,-19.09284,4507,0
524356141,0.06686184,0.3248805,-0.12368213,4510,0,-1.287752,0.50982034,-3.2166135,4510,0
524360651,-0.29456833,-0.47242045,0.16576704,4510,0,-0.5987634,2.727202,-2.8129957,4510,0
524365160,0.34638283,0.06563726,-0.0071441997,4509,0,-1.2250756,-0.9278156,-19.521189,4509,0
524369670,-0.0016475525,0.24444644,-0.1252065,4510,0,0.62948406,0.31990504,-8.2420025,4510,0
524374179,-0.3832375,-0.44352937,0.1574258,4509,0,1.7662803,0.55160177,-6.1775064,4509,0
524378700,0.24767242,0.20598917,-0.027856283,4521,0,-0.5694725,-4.575118,-18.829111,4521,0
524383198,0.11639931,0.34695134,-0.1680626,4498,0,-1.0944917,-0.82015204,-4.6299596,4498,0
524387708,-0.36528438,-0.4203499,0.14109015,4510,0,-0.44554535,2.6839144,-2.3279588,4510,0
