timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
544896146,544895575,0.03947299,0.049138233,-0.027326802,0.5117833,0.0,0.0,0.0,-1.0
544948764,544948186,-0.030226959,0.12779257,-0.02949467,0.52178985,0.0,0.0,0.0,-1.0
544996870,544996287,-0.032888908,0.04937373,-0.01247579,0.5207716,0.0,0.0,0.0,-1.0
545046472,545045898,-0.060759965,0.022563133,-0.01669029,0.51276296,0.0,0.0,0.0,-1.0
545099078,545098509,-0.089122914,0.051714614,-0.011727201,0.5223138,0.0,0.0,0.0,-1.0
545147179,545146604,-0.008260705,0.13237087,-0.021306913,0.51350844,0.0,0.0,0.0,-1.0
545198277,545197712,-0.03923639,0.07050078,-0.017893462,0.52156067,0.0,0.0,0.0,-1.0
545247883,545247316,0.013439305,0.0396589,-0.010956728,0.52607846,0.0,0.0,0.0,-1.0
545297490,545296924,-0.014388098,-0.006450386,-0.013833534,0.5256844,0.0,0.0,0.0,-1.0
545347093,545346526,-0.033632375,0.018425457,-0.018674525,0.5352351,0.0,0.0,0.0,-1.0
545396697,545396130,-0.00894225,0.03910936,-0.028083216,0.53939724,0.0,0.0,0.0,-1.0
545449319,545448742,-0.07564374,0.010011348,-0.02483883,0.54236984,0.0,0.0,0.0,-1.0
545497426,545496851,-0.0583082,0.06463703,-0.028303664,0.5417253,0.0,0.0,0.0,-1.0
545547014,545546448,0.047474533,0.120867655,-0.027308792,0.54339176,0.0,0.0,0.0,-1.0
545595125,545594549,0.04359157,0.041622773,-0.025116906,0.54057276,0.0,0.0,0.0,-1.0
545647735,545647160,-0.0031838713,0.08133061,-0.031829912,0.539483,0.0,0.0,0.0,-1.0
545697333,545696765,0.030764531,0.10548558,-0.032183558,0.53069335,0.0,0.0,0.0,-1.0
545748444,545747872,-0.025609503,0.03776203,-0.032661222,0.53508776,0.0,0.0,0.0,-1.0
545798044,545797477,0.033370014,0.05543266,-0.030429931,0.5360273,0.0,0.0,0.0,-1.0
545847656,545847082,0.06343696,0.05600129,-0.024932085,0.5337483,0.0,0.0,0.0,-1.0
545897264,545896687,0.00877841,0.027415032,-0.025855027,0.5256789,0.0,0.0,0.0,-1.0
545945363,545944789,0.015591225,-0.021910043,-0.020898372,0.5280029,0.0,0.0,0.0,-1.0
545997969,545997399,-0.002313934,0.020688135,-0.023290502,0.5301295,0.0,0.0,0.0,-1.0
546047583,546047004,0.011241565,0.07321336,-0.019713182,0.5306965,0.0,0.0,0.0,-1.0
546095675,546095105,-0.012711828,0.08754114,-0.020076528,0.53164524,0.0,0.0,0.0,-1.0
546148287,546147720,0.020216096,0.06470115,-0.017597314,0.52733654,0.0,0.0,0.0,-1.0
546197900,546197321,0.0026545946,0.047986012,-0.01747738,0.5312682,0.0,0.0,0.0,-1.0
546245996,546245430,-0.027482104,0.040614597,-0.010690947,0.5224438,0.0,0.0,0.0,-1.0
546298601,546298033,0.032322567,0.042244814,-0.010228504,0.5248102,0.0,0.0,0.0,-1.0
546348209,546347638,0.0023607288,0.01141013,-0.015876291,0.52720517,0.0,0.0,0.0,-1.0
546397819,546397242,-0.0047339173,-0.034823976,-0.0152742425,0.5370334,0.0,0.0,0.0,-1.0
546447420,546446847,0.026155174,0.027592894,-0.017914616,0.5417741,0.0,0.0,0.0,-1.0
546498521,546497955,0.060815092,0.015386246,-0.020355519,0.53855026,0.0,0.0,0.0,-1.0
546548156,546547573,0.01783851,0.0246114,-0.017098252,0.5394661,0.0,0.0,0.0,-1.0
