timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
541047870,9.3726,9.767075,12.958,13.427662,-1.0,500.93802,0.0,1.1571429,nan,3,3.2556915,3.2556915,3.2556915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
541247673,9.8072,9.768792,12.2512,13.21643,-1.0,501.64868,0.0,1.1571429,nan,3,3.256264,3.256264,3.256264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
541447658,9.3152,9.76842,12.288401,13.108896,-1.0,502.3638,0.0,1.1571429,nan,3,3.25614,3.25614,3.25614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
541647953,9.7252,9.775785,11.829599,12.7398405,-1.0,503.0319,0.0,1.1571429,nan,3,3.2585952,3.2585952,3.2585952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
541847892,9.659599,9.77537,12.7472,12.564599,-1.0,503.709,0.0,1.1571429,nan,3,3.2584565,3.2584565,3.2584565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
542037661,9.7006,9.770383,12.5984,12.51591,-1.0,504.362,0.0,1.1571429,nan,3,3.2567942,3.2567942,3.2567942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
542247789,9.594,9.776371,12.9332,12.79118,-1.0,505.13977,0.0,1.1571429,nan,3,3.2587903,3.2587903,3.2587903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
542448718,9.799,9.781067,13.454,12.813749,-1.0,505.85806,0.0,1.1571429,nan,3,3.2603557,3.2603557,3.2603557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
542651426,9.528399,9.784039,12.7844,12.807421,-1.0,506.578,0.0,1.1571429,nan,3,3.261346,3.261346,3.261346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
542847668,9.963,9.793607,12.1024,12.644674,-1.0,507.2504,0.0,1.1571429,nan,3,3.2645357,3.2645357,3.2645357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
