timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
538436690,538434937,2162698,-0.001110793,-0.0040684207,-0.00085845345,0.34906584,2.564079e-09,2.5649467e-09,4.1548893e-09,2162698,0.054701183,0.017531166,-0.13306403,0.4,4.9899227e-06,4.989926e-06,4.9898313e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
538708201,538705508,2162698,-0.0011240093,-0.0040465407,-0.0008634328,0.34906584,2.5730047e-09,2.5735447e-09,4.1951744e-09,2162698,0.054964367,0.01736155,-0.13412227,0.4,5.0094995e-06,5.0094995e-06,5.0094995e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
538995602,538994118,2162698,-0.0011326674,-0.004022119,-0.00086134626,0.34906584,2.5783053e-09,2.5785987e-09,4.2074237e-09,2162698,0.054856654,0.017196413,-0.13309672,0.4,4.9936652e-06,4.9936702e-06,4.993609e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
539105117,539102347,2162698,-0.0011437355,-0.0040234164,-0.0008633921,0.34906584,2.5770333e-09,2.5771085e-09,4.2244004e-09,2162698,0.055000138,0.017137079,-0.13441698,0.4,5.0024714e-06,5.0024714e-06,5.0024714e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
539709547,539706623,2162698,-0.0011360353,-0.004063202,-0.00086844544,0.34906584,2.5803149e-09,2.5803566e-09,4.2776165e-09,2162698,0.054998793,0.016878314,-0.13541101,0.4,5.003568e-06,5.003568e-06,5.003568e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
540127730,540126024,2162698,-0.0011326396,-0.004112699,-0.00087446015,0.34906584,2.5779212e-09,2.5782287e-09,4.316515e-09,2162698,0.054841388,0.01671023,-0.13646513,0.4,5.0068893e-06,5.0068893e-06,5.0068898e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
540736570,540734795,2162698,-0.0011166187,-0.0041383337,-0.000878959,0.34906584,2.555619e-09,2.5559659e-09,4.353069e-09,2162698,0.054540273,0.016356999,-0.13540073,0.4,4.990616e-06,4.990618e-06,4.9906093e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
540916796,540915176,2162698,-0.0011185793,-0.004168307,-0.0008844338,0.34906584,2.5577127e-09,2.5580422e-09,4.3861e-09,2162698,0.054701984,0.016353257,-0.13644665,0.4,5.0112903e-06,5.0112903e-06,5.01129e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
541336255,541334560,2162698,-0.0011771324,-0.00421363,-0.0008779423,0.34906584,2.533554e-09,2.5344522e-09,4.4020836e-09,2162698,0.054033343,0.016779905,-0.13554694,0.4,4.9915416e-06,4.9915425e-06,4.9915247e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
542116625,542114707,2162698,-0.0011360274,-0.0042885286,-0.00088877644,0.34906584,2.491281e-09,2.493152e-09,4.461019e-09,2162698,0.05341484,0.016185436,-0.13495107,0.4,4.990491e-06,4.990493e-06,4.9904834e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
542389623,542385280,2162698,-0.0010774166,-0.0042803627,-0.0008888223,0.34906584,2.4973963e-09,2.4989353e-09,4.500273e-09,2162698,0.053979002,0.015409939,-0.1352743,0.4,5.010408e-06,5.0104195e-06,5.0104e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
